year,film,winner,nominated_for_Writing,nominated_for_BestDirector,nominated_for_BestActress,nominated_for_BestActor,nominated_for_BestFilmEditing,Adventure,Biography,Comedy,Crime,Drama,History,Musical,Romance,Thriller,War,Other
2009,Up in the Air,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0.5,0,0,0.5,0,0,0
2009,An Education,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0,0,0,0,1,0,0,0,0,0,0
2009,District 9,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,1
2009,The Blind Side,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,0.333333333333333,0,0,0.333333333333333,0,0,0,0,0,0.333333333333333
2009,Precious: Based on the Novel 'Push' by Sapphire,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,0,0,0,0,1,0,0,0,0,0,0
2009,Avatar,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0.25,0,0,0,0,0,0,0,0,0,0.75
2009,A Serious Man,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0.5,0,0.5,0,0,0,0,0,0
2009,Inglourious Basterds,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,0.333333333333333,0,0,0,0.333333333333333,0,0,0,0,0.333333333333333,0
2010,The King's Speech,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,0,0.333333333333333,0,0,0.333333333333333,0.333333333333333,0,0,0,0,0
2010,Toy Story 3,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.2,0,0.2,0,0,0,0,0,0,0,0.6000000000000001
2010,The Social Network,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,0,0.5,0,0,0.5,0,0,0,0,0,0
2010,Inception,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0.25,0,0.75
2010,The Kids Are All Right,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0,0,0.5,0,0.5,0,0,0,0,0,0
2010,Black Swan,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,0,0,0,0,0.5,0,0,0,0.5,0,0
2010,True Grit,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,0.333333333333333,0,0,0,0.333333333333333,0,0,0,0,0,0.333333333333333
2010,127 Hours,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,0.25,0.25,0,0,0.25,0,0,0,0.25,0,0
2010,Winter's Bone,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0,0,0,0,1,0,0,0,0,0,0
2010,The Fighter,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,0,0.333333333333333,0,0,0.333333333333333,0,0,0,0,0,0.333333333333333
2011,The Artist,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,0,0,0.333333333333333,0,0.333333333333333,0,0,0.333333333333333,0,0,0
2011,Moneyball,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,0.333333333333333,0,0,0.333333333333333,0,0,0,0,0,0.333333333333333
2011,Midnight in Paris,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,0.333333333333333,0,0,0,0,0.333333333333333,0,0,0.333333333333333
2011,The Help,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,0,0,1,0,0,0,0,0,0
2011,Extremely Loud & Incredibly Close,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.333333333333333,0,0,0,0.333333333333333,0,0,0,0,0,0.333333333333333
2011,Hugo,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0.25,0,0,0,0.25,0,0,0,0,0,0.5
2011,The Tree of Life,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,0,0,0.5,0,0,0,0,0,0.5
2011,The Descendants,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,0,0,0.5,0,0.5,0,0,0,0,0,0
2011,War Horse,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0.5,0,0,0,0,0.5,0
2012,Argo,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0.25,0,0,0.25,0.25,0,0,0.25,0,0
2012,Beasts of the Southern Wild,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0.5,0,0,0,0,0,0.5
2012,Amour,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0.5,0,0,0.5,0,0,0
2012,Zero Dark Thirty,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0,0,0,0,0.333333333333333,0.333333333333333,0,0,0.333333333333333,0,0
2012,Django Unchained,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,1
2012,Silver Linings Playbook,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0,0,0.333333333333333,0,0.333333333333333,0,0,0.333333333333333,0,0,0
2012,Lincoln,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,0,0.25,0,0,0.25,0.25,0,0,0,0.25,0
